record_id,redcap_repeat_instrument,redcap_repeat_instance,gel_prop_data_url,gel_prop_alpha_tubulin_to_actin,gel_prop_spec_number,gel_prop_region,gel_prop_expt_date
74B28,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,0.974223583972413,54238.1,15,2024-05-11
29B5D,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,0.419570532453825,54249.1,15,2024-05-11
B60CF,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,0.714509091122861,50983.2,15,2024-05-11
99EC2,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,0.556179841263259,54204.2,15,2024-05-11
6F984,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,0.316757339989795,84209.2,15,2024-05-11
27D6D,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,0.334021443481489,51972.6,15,2024-05-11
9D7E9,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,0.623978539356909,54680.3,15,2024-05-11
2256F,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,0.906613589673303,84332.7,15,2024-05-11
F4300,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,2.22158395519639,51474.7,15,2024-05-11
BF79E,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,1.4887956477185,51480.6,15,2024-05-11
8296A,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,0.65541806571579,53032.4,15,2024-05-11
1B082,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,1.35579837357234,53048.7,15,2024-05-11
0D5A4,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,0.955016487463241,53589.6,15,2024-05-11
9B600,gel_proportion,new,https://mynotebook.labarchives.com/share/Campbell%2520Lab/MTA3NS4xMDAwMDAwMDAwMDAxfDY3MzMyMS84MjctMzIxMS9UcmVlTm9kZS8zNTk1MDMyNzYwfDI3MjkuMQ==,1.20384851974679,50588.9,15,2024-05-11
